device_id,gender_id,app_name,minutes,Publisher
B-52-12103,1.0,Amazon Mobile (Mobile App),14.4774,Amazon Sites
B-52-15656,1.0,Amazon Mobile (Mobile App),14.6664,Amazon Sites
B-52-33307,2.0,Amazon Mobile (Mobile App),14.6664,Amazon Sites
B-52-38722,2.0,Amazon Mobile (Mobile App),14.742,Amazon Sites
B-52-40090,1.0,Amazon Mobile (Mobile App),14.7798,Amazon Sites
B-52-49077,1.0,Amazon Mobile (Mobile App),14.7798,Amazon Sites
B-52-29241,2.0,Amazon Mobile (Mobile App),14.7798,Amazon Sites
B-52-532,2.0,Amazon Mobile (Mobile App),14.7798,Amazon Sites
B-52-21793,1.0,Amazon Mobile (Mobile App),14.8554,Amazon Sites
B-52-31787,1.0,Amazon Mobile (Mobile App),140.0868,Amazon Sites
B-52-49514,2.0,Amazon Mobile (Mobile App),141.183,Amazon Sites
B-52-30419,1.0,Amazon Mobile (Mobile App),141.372,Amazon Sites
B-52-8759,2.0,Amazon Mobile (Mobile App),1412.9262,Amazon Sites
B-52-32794,1.0,Amazon Mobile (Mobile App),142.3548,Amazon Sites
B-52-47044,2.0,Amazon Mobile (Mobile App),143.1486,Amazon Sites
B-52-48716,1.0,Amazon Mobile (Mobile App),143.2998,Amazon Sites
B-52-13547,2.0,Amazon Mobile (Mobile App),143.6022,Amazon Sites
B-52-5225,1.0,Amazon Mobile (Mobile App),144.2448,Amazon Sites
B-52-4712,2.0,Amazon Mobile (Mobile App),144.585,Amazon Sites
B-52-14155,2.0,Amazon Mobile (Mobile App),145.1142,Amazon Sites
B-52-17366,2.0,Amazon Mobile (Mobile App),145.3788,Amazon Sites
B-52-31958,1.0,Amazon Mobile (Mobile App),145.4166,Amazon Sites
